"FIPS","Area Name","Qualifying Name","State Postal Abbreviation","Summary Level","Geographic Component","File identification","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Area Total:","Area Total: Area (Land)","Area Total: Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"10310301","ZCTA5 10301","ZCTA5 10301","us","860","00","ACSSF","0013233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10301",,,,,,,,,,,"86000US10301",,,"9189255","12647",38280,3.552874,3.547991,0.004883034,38280,23029,9022,56,2421,9,1976,1767
"10310302","ZCTA5 10302","ZCTA5 10302","us","860","00","ACSSF","0013234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10302",,,,,,,,,,,"86000US10302",,,"3079121","0",18037,1.188855,1.188855,0,18037,10537,3964,228,1700,19,1069,520
"10310303","ZCTA5 10303","ZCTA5 10303","us","860","00","ACSSF","0013235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10303",,,,,,,,,,,"86000US10303",,,"8141997","73294",27401,3.171942,3.143643,0.02829897,27401,12825,9393,33,2118,0,2195,837
"10310304","ZCTA5 10304","ZCTA5 10304","us","860","00","ACSSF","0013236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10304",,,,,,,,,,,"86000US10304",,,"9655859","19194",41112,3.735559,3.728148,0.007410845,41112,21030,11921,101,4550,40,2859,611
"10310305","ZCTA5 10305","ZCTA5 10305","us","860","00","ACSSF","0013237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10305",,,,,,,,,,,"86000US10305",,,"10304611","44453",42726,3.995796,3.978633,0.0171634,42726,30411,3157,140,6363,18,1686,951
"10310306","ZCTA5 10306","ZCTA5 10306","us","860","00","ACSSF","0013238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10306",,,,,,,,,,,"86000US10306",,,"19359797","152157",53877,7.533607,7.474859,0.05874815,53877,45069,1848,32,3951,0,1308,1669
"10310307","ZCTA5 10307","ZCTA5 10307","us","860","00","ACSSF","0013239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10307",,,,,,,,,,,"86000US10307",,,"4764130","18350",14906,1.846526,1.839441,0.007084975,14906,13602,63,20,678,0,396,147
"10310308","ZCTA5 10308","ZCTA5 10308","us","860","00","ACSSF","0013240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10308",,,,,,,,,,,"86000US10308",,,"5097987","12014",29512,1.972983,1.968344,0.004638631,29512,27311,351,27,1473,0,196,154
"10310309","ZCTA5 10309","ZCTA5 10309","us","860","00","ACSSF","0013241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10309",,,,,,,,,,,"86000US10309",,,"17239616","102043",34058,6.695652,6.656253,0.03939902,34058,31731,239,111,1143,0,498,336
"10310310","ZCTA5 10310","ZCTA5 10310","us","860","00","ACSSF","0013242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10310",,,,,,,,,,,"86000US10310",,,"4651578","0",23800,1.795984,1.795984,0,23800,14264,5098,62,1364,0,2149,863
"10310311","ZCTA5 10311","ZCTA5 10311","us","860","00","ACSSF","0013243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10311",,,,,,,,,,,"86000US10311",,,"121555","0",0,0.04693265,0.04693265,0,0,0,0,0,0,0,0,0
"10310312","ZCTA5 10312","ZCTA5 10312","us","860","00","ACSSF","0013244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10312",,,,,,,,,,,"86000US10312",,,"19637318","359000",61392,7.720622,7.582011,0.1386107,61392,56249,560,90,3276,57,525,635
"10310314","ZCTA5 10314","ZCTA5 10314","us","860","00","ACSSF","0013245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","10314",,,,,,,,,,,"86000US10314",,,"35432499","1687746",89792,14.33221,13.68056,0.6516424,89792,65976,3342,126,15209,76,2691,2372
"10410451","ZCTA5 10451","ZCTA5 10451","us","860","00","ACSSF","0013246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10451",,,,,,,,,,,"86000US10451",,,"2665303","9963",48136,1.032926,1.029079,0.003846736,48136,6746,19123,148,656,0,18962,2501
"10410452","ZCTA5 10452","ZCTA5 10452","us","860","00","ACSSF","0013247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10452",,,,,,,,,,,"86000US10452",,,"2559781","0",75452,0.988337,0.988337,0,75452,10445,24612,298,1270,252,35629,2946
"10410453","ZCTA5 10453","ZCTA5 10453","us","860","00","ACSSF","0013248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10453",,,,,,,,,,,"86000US10453",,,"2372518","6524",81716,0.9185533,0.9160343,0.002518931,81716,7797,27461,458,1214,0,41989,2797
"10410454","ZCTA5 10454","ZCTA5 10454","us","860","00","ACSSF","0013249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10454",,,,,,,,,,,"86000US10454",,,"2714423","0",37212,1.048045,1.048045,0,37212,6161,12349,515,105,24,16900,1158
"10410455","ZCTA5 10455","ZCTA5 10455","us","860","00","ACSSF","0013250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10455",,,,,,,,,,,"86000US10455",,,"1846908","0",41951,0.7130952,0.7130952,0,41951,5845,12749,368,391,110,21127,1361
"10410456","ZCTA5 10456","ZCTA5 10456","us","860","00","ACSSF","0013251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10456",,,,,,,,,,,"86000US10456",,,"2635671","0",92717,1.017638,1.017638,0,92717,11608,42939,1218,615,156,33023,3158
"10410457","ZCTA5 10457","ZCTA5 10457","us","860","00","ACSSF","0013252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10457",,,,,,,,,,,"86000US10457",,,"2743123","0",74822,1.059126,1.059126,0,74822,13534,33654,380,731,37,24079,2407
"10410458","ZCTA5 10458","ZCTA5 10458","us","860","00","ACSSF","0013253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10458",,,,,,,,,,,"86000US10458",,,"2603707","0",85620,1.005297,1.005297,0,85620,14411,16289,333,2585,48,48689,3265
"10410459","ZCTA5 10459","ZCTA5 10459","us","860","00","ACSSF","0013254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10459",,,,,,,,,,,"86000US10459",,,"2124313","0",48780,0.8202019,0.8202019,0,48780,6123,15958,289,266,27,24351,1766
"10410460","ZCTA5 10460","ZCTA5 10460","us","860","00","ACSSF","0013255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10460",,,,,,,,,,,"86000US10460",,,"3399050","0",59432,1.312381,1.312381,0,59432,10950,20409,289,891,145,24628,2120
"10410461","ZCTA5 10461","ZCTA5 10461","us","860","00","ACSSF","0013256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10461",,,,,,,,,,,"86000US10461",,,"6201816","0",49690,2.394535,2.394535,0,49690,24113,4681,383,6100,57,11910,2446
"10410462","ZCTA5 10462","ZCTA5 10462","us","860","00","ACSSF","0013257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10462",,,,,,,,,,,"86000US10462",,,"3818110","15353",75714,1.480108,1.474181,0.005927827,75714,17579,21736,729,10272,20,21561,3817
"10410463","ZCTA5 10463","ZCTA5 10463","us","860","00","ACSSF","0013258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10463",,,,,,,,,,,"86000US10463",,,"3755855","345779",71132,1.58365,1.450144,0.133506,71132,33197,11573,480,2774,69,18701,4338
"10410464","ZCTA5 10464","ZCTA5 10464","us","860","00","ACSSF","0013259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10464",,,,,,,,,,,"86000US10464",,,"8993192","237116",4531,3.563842,3.472291,0.09155101,4531,3084,1,0,227,0,1061,158
"10410465","ZCTA5 10465","ZCTA5 10465","us","860","00","ACSSF","0013260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10465",,,,,,,,,,,"86000US10465",,,"8799203","2711",43671,3.398438,3.397391,0.001046723,43671,25689,5810,13,1220,8,9425,1506
"10410466","ZCTA5 10466","ZCTA5 10466","us","860","00","ACSSF","0013261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10466",,,,,,,,,,,"86000US10466",,,"5215221","5147",75039,2.015595,2.013608,0.001987268,75039,8741,53651,898,2132,52,7522,2043
"10410467","ZCTA5 10467","ZCTA5 10467","us","860","00","ACSSF","0013262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10467",,,,,,,,,,,"86000US10467",,,"6049162","0",101255,2.335595,2.335595,0,101255,24355,35955,631,5871,77,30081,4285
"10410468","ZCTA5 10468","ZCTA5 10468","us","860","00","ACSSF","0013263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10468",,,,,,,,,,,"86000US10468",,,"2773214","45100",78881,1.088157,1.070744,0.01741321,78881,12484,19919,653,1830,303,41304,2388
"10410469","ZCTA5 10469","ZCTA5 10469","us","860","00","ACSSF","0013264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10469",,,,,,,,,,,"86000US10469",,,"6404388","0",72384,2.472748,2.472748,0,72384,12756,40936,459,4493,0,11072,2668
"10410470","ZCTA5 10470","ZCTA5 10470","us","860","00","ACSSF","0013265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10470",,,,,,,,,,,"86000US10470",,,"3703474","3918",15716,1.431432,1.429919,0.001512748,15716,6685,6723,6,463,0,1371,468
"10410471","ZCTA5 10471","ZCTA5 10471","us","860","00","ACSSF","0013266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10471",,,,,,,,,,,"86000US10471",,,"6659943","28258",22422,2.582329,2.571419,0.01091048,22422,15232,2509,33,1267,0,2353,1028
"10410472","ZCTA5 10472","ZCTA5 10472","us","860","00","ACSSF","0013267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10472",,,,,,,,,,,"86000US10472",,,"2729341","0",67948,1.053805,1.053805,0,67948,8668,18615,846,5519,0,31829,2471
"10410473","ZCTA5 10473","ZCTA5 10473","us","860","00","ACSSF","0013268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10473",,,,,,,,,,,"86000US10473",,,"5539540","5538",59579,2.140967,2.138829,0.002138234,59579,21610,23528,231,925,0,10734,2551
"10410474","ZCTA5 10474","ZCTA5 10474","us","860","00","ACSSF","0013269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10474",,,,,,,,,,,"86000US10474",,,"3961350","0",12179,1.529486,1.529486,0,12179,1180,5115,68,22,0,5322,472
"10410475","ZCTA5 10475","ZCTA5 10475","us","860","00","ACSSF","0013270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","10475",,,,,,,,,,,"86000US10475",,,"4454301","287086",42818,1.83066,1.719815,0.1108445,42818,6847,27547,529,1044,0,4705,2146
"11111101","ZCTA5 11101","ZCTA5 11101","us","860","00","ACSSF","0013424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11101",,,,,,,,,,,"86000US11101",,,"6743196","236158",31366,2.694744,2.603563,0.09118111,31366,13181,4683,252,7741,64,3895,1550
"11111102","ZCTA5 11102","ZCTA5 11102","us","860","00","ACSSF","0013425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11102",,,,,,,,,,,"86000US11102",,,"2042473","2387",29747,0.7895249,0.7886032,0.0009216259,29747,17887,2726,23,4746,13,3260,1092
"11111103","ZCTA5 11103","ZCTA5 11103","us","860","00","ACSSF","0013426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11103",,,,,,,,,,,"86000US11103",,,"1842767","0",35995,0.7114964,0.7114964,0,35995,25251,932,70,4992,40,3448,1262
"11111104","ZCTA5 11104","ZCTA5 11104","us","860","00","ACSSF","0013427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11104",,,,,,,,,,,"86000US11104",,,"1005110","0",25114,0.3880751,0.3880751,0,25114,15805,518,80,6087,0,1785,839
"11111105","ZCTA5 11105","ZCTA5 11105","us","860","00","ACSSF","0013428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11105",,,,,,,,,,,"86000US11105",,,"4356927","0",36983,1.682219,1.682219,0,36983,28467,930,27,4233,0,2056,1270
"11111106","ZCTA5 11106","ZCTA5 11106","us","860","00","ACSSF","0013429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11106",,,,,,,,,,,"86000US11106",,,"2214067","14591",37690,0.8604897,0.8548561,0.005633617,37690,20103,2912,59,7938,8,4848,1822
"11111109","ZCTA5 11109","ZCTA5 11109","us","860","00","ACSSF","0013430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11109",,,,,,,,,,,"86000US11109",,,"128895","24260",5980,0.05913348,0.04976664,0.009366839,5980,3888,55,0,1815,0,34,188
"11211201","ZCTA5 11201","ZCTA5 11201","us","860","00","ACSSF","0013431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11201",,,,,,,,,,,"86000US11201",,,"3644692","39281",63378,1.42239,1.407223,0.01516648,63378,40722,8367,201,7851,49,2505,3683
"11211203","ZCTA5 11203","ZCTA5 11203","us","860","00","ACSSF","0013432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11203",,,,,,,,,,,"86000US11203",,,"5555600","0",76085,2.145029,2.145029,0,76085,3364,67699,147,1390,0,2233,1252
"11211204","ZCTA5 11204","ZCTA5 11204","us","860","00","ACSSF","0013433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11204",,,,,,,,,,,"86000US11204",,,"4113158","0",76395,1.588099,1.588099,0,76395,43354,954,229,25181,10,5069,1598
"11211205","ZCTA5 11205","ZCTA5 11205","us","860","00","ACSSF","0013434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11205",,,,,,,,,,,"86000US11205",,,"2447361","0",46843,0.9449314,0.9449314,0,46843,24069,14522,286,2966,4,3144,1852
"11211206","ZCTA5 11206","ZCTA5 11206","us","860","00","ACSSF","0013435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11206",,,,,,,,,,,"86000US11206",,,"3715220","0",88422,1.434455,1.434455,0,88422,41063,21797,525,5966,125,15424,3522
